row_type,set_id,set_title,set_description,is_math,q_id,q_num,question_text,hint,answer,explanation
question,,,,,"cell-transport-q7","問7","ある種の細胞では、グルコース（ブドウ糖）の輸送がNa+の輸送と同時に行われることがある。これは、Na+が濃度勾配に従って細胞内に流入する力を利用して、グルコースを濃度勾配に逆らって細胞内に取り込む仕組みである。このような輸送形態を何と呼ぶか。また、これは能動輸送と受動輸送のどちらに分類されるか。","ATPを直接は使いませんが、他のイオンの濃度勾配（これはATPを使って作られたもの）を利用して物質を輸送しています。この間接的なエネルギー利用をどう分類するべきでしょうか。","共輸送（シンポート）、二次能動輸送","二次能動輸送は、一次能動輸送（例：ナトリウムポンプ）によって作られたイオンの濃度勾配をエネルギー源として利用し、他の物質を輸送する仕組みです。グルコースとNa+が同じ方向に輸送されるため、特に共輸送（シンポート）と呼ばれます。ATPを直接利用しないものの、間接的にエネルギーを要するため能動輸送に分類されます。"
question,,,,,"cell-transport-q8","問8","チャネルと輸送体（担体）は、どちらも膜タンパク質であり、特定の物質の輸送を助ける。この2つの輸送様式の主な違いを、タンパク質の構造変化と輸送速度の観点から説明しなさい。","一方は「トンネル」のように開きっぱなしの通路、もう一方は「回転ドア」のように一回一回形を変えて物質を運ぶイメージです。どちらが速く多くの人を通せるでしょうか。","チャネルは、特定のイオンが通過できる孔（ポア）を形成し、開閉することでイオンを高速に通過させる。一方、輸送体（担体）は、輸送する物質と結合すると立体構造を変化させ、それによって物質を膜の反対側へ運ぶ。この構造変化を伴うため、輸送速度はチャネルに比べて遅い。","チャネルは開いている間、濃度勾配や電位勾配に従ってイオンを連続的に通過させることができるため、非常に高速な輸送が可能です。一方、輸送体は物質の結合と構造変化を繰り返すサイクルで輸送するため、輸送速度には上限があります。"
question,,,,,"cell-transport-q9","問9","細胞が、細胞外の大きな固形物（例：細菌）を取り込む働きを食作用という。食作用は、細胞膜がどのように変化して起こる現象か説明しなさい。また、この働きはエンドサイトーシスとエキソサイトーシスのどちらに分類されるか。","細胞がアメーバのように動いて、外にあるものを「パクリ」と食べるイメージです。細胞膜がどのように動くでしょうか。","細胞膜が陥入（内側にくぼむ）あるいは伸長して、取り込む固形物を包み込み、小胞を形成して細胞内に取り込む。これは細胞外の物質を取り込むため、エンドサイトーシスに分類される。","エンドサイトーシスは、細胞膜が内側にくぼんで小胞を作り、細胞外の物質を取り込むプロセスの総称です。特に、大きな固形物を取り込む場合を食作用（ファゴサイトーシス）と呼びます。"
question,,,,,"cell-transport-q10","問10","ある植物の細胞を、さまざまな濃度のスクロース溶液に浸し、しばらく時間をおいた後の細胞の様子を観察した。その結果、ある濃度Xの溶液に浸したとき、細胞壁と細胞膜がちょうど離れ始める「原形質分離」が観察された。このときの細胞の状態について、細胞内の浸透圧と溶液Xの浸透圧の関係を説明しなさい。また、濃度がXよりも高い溶液に浸した場合、細胞はどのようになると考えられるか。","原形質分離が「ちょうど」起こる瞬間は、細胞膜を押していた力がゼロになったとき、つまり細胞の内側から外側へ水が出ていこうとする力と、外側から内側へ水が入ろうとする力が釣り合った状態です。","原形質分離がちょうど起こるとき、細胞内の浸透圧と溶液Xの浸透圧は等しくなっている。濃度がXよりも高い溶液に浸した場合、細胞内からさらに多くの水が細胞外へ流出するため、原形質分離がさらに進行し、細胞膜は細胞壁から大きく離れて収縮する。","植物細胞を低張液に入れると、水が入って細胞膜が細胞壁を内側から押す状態（膨圧）になります。溶液の濃度を上げていくと、細胞からの水の流出が増え、膨圧がゼロになります。この点が原形質分離が始まる点で、細胞液と外液の浸透圧が等しい状態です。さらに外液の濃度を高くすると、細胞から水が流出し続け、原形質分離が進行します。"
set,biomolecules-1,生体を構成する物質,"生体を構成する元素や、タンパク質、炭水化物、脂質、核酸といった主要な生体高分子の構造と機能に関する問題です。",FALSE,,,,,,
question,,,,,"biomolecules-q1","問1","ヒトの体を構成する元素のうち、質量パーセントで見て最も多いものから4番目までの元素を、元素記号で順に答えなさい。","私たちの体はほとんどが水（H₂O）でできています。また、有機物の骨格となる元素、タンパク質に特徴的な元素は何でしたか。","O, C, H, N","ヒトの体の約65%は酸素（O）、約18%は炭素（C）、約10%は水素（H）、約3%は窒素（N）で構成されています。これら4元素で全体の96%以上を占めます。"
question,,,,,"biomolecules-q2","問2","タンパク質に関する記述として、誤っているものを一つ選びなさい。(1) 約20種類のアミノ酸がペプチド結合によって多数つながってできている。(2) 生体内の化学反応を促進する酵素の主成分である。(3) 加熱や強い酸・アルカリによって立体構造が変化し、働きを失う（変性）。(4) 遺伝情報を保持し、子孫に伝える役割を持つ。","タンパク質は「生命活動の実行役」と呼ばれます。遺伝情報の「設計図」としての役割を持つのはどの物質でしたか。","(4)","遺伝情報を保持し、子孫に伝える役割を持つのは核酸（DNA）です。タンパク質は、アミノ酸が多数結合したポリマーであり、酵素や抗体、構造体として多様な機能を持ちますが、遺伝情報の保持は主な役割ではありません。"
question,,,,,"biomolecules-q3","問3","デンプン、グリコーゲン、セルロースは、すべて同じ単糖類が多数結合してできた多糖類である。この構成単位となる単糖類の名称を答えなさい。","私たちが活動するための主要なエネルギー源となる糖の名前です。血液中にも含まれています。","グルコース（ブドウ糖）","デンプン（植物の貯蔵多糖）、グリコーゲン（動物の貯蔵多糖）、セルロース（植物の細胞壁の主成分）は、いずれもグルコースが多数重合してできた高分子です。結合の様式が異なるため、それぞれ異なる性質を示します。"
question,,,,,"biomolecules-q4","問4","リン脂質は生体膜の主成分である。リン脂質分子が水中で見せる特徴的な挙動を、「親水性」と「疎水性」という語句を用いて説明しなさい。","リン脂質には水に馴染みやすい「頭」と、水を避ける「尾」があります。水の中に入れると、これらはどのように配置されるでしょうか。","リン脂質は、親水性の頭部と疎水性の尾部を持つ。水中に置くと、疎水性の尾部どうしが内側に向き合って集まり、親水性の頭部が水に接する外側を向くことで、脂質二重層（ミセル構造など）を形成する。","この性質により、リン脂質は水溶液中で自発的に細胞膜のような安定した二重層構造を作ることができます。これが細胞という区画が成り立つための基本的な原理です。"
question,,,,,"biomolecules-q5","問5","タンパク質の立体構造は、その機能発現に極めて重要である。アミノ酸の配列順序のことを（ ア ）構造という。このポリペプチド鎖が部分的にとる、αヘリックスやβシートなどの規則的な構造を（ イ ）構造という。","タンパク質の構造には階層があります。一番基本的な設計図である配列と、その鎖が作る部分的なパターンを何と呼ぶでしょうか。","（ア）一次 （イ）二次","タンパク質の構造は、アミノ酸の配列である一次構造、部分的な折りたたみの二次構造、ポリペプチド鎖全体の立体構造である三次構造、複数のポリペプチド鎖が集まった四次構造の4つの階層に分けられます。"
question,,,,,"biomolecules-q6","問6","酵素は、特定の物質（基質）にしか作用しないという性質を持つ。この性質を何というか。また、この性質は何によって決まるか、酵素の主成分と構造に着目して説明しなさい。","酵素と基質の関係は、よく「鍵と鍵穴」に例えられます。なぜ特定の鍵しか鍵穴に合わないのでしょうか。","性質：基質特異性。説明：酵素の主成分はタンパク質であり、固有の立体構造を持っている。その表面には活性部位と呼ばれる特定の基質だけがぴったりと結合できるくぼみがあり、この活性部位の形状が基質特異性を決めている。","酵素が機能を発揮するためには、基質が酵素の活性部位に正確に結合する必要があります。この活性部位の立体構造は、タンパク質を構成するアミノ酸配列によって決まるため、各酵素はそれぞれ特定の基質とのみ反応することができます。"
question,,,,,"biomolecules-q7","問7","ヒトの体内で合成できず、食物から摂取する必要があるアミノ酸を総称して何と呼ぶか。プリントのp.12を参考に、2つ例を挙げなさい。","体内で作れないため、食事の栄養バランスが重要になるアミノ酸群です。","必須アミノ酸（例：バリン、ロイシン、イソロイシン、リシン、メチオニン、フェニルアラニン、トリプトファン、ヒスチジン、トレオニンの中から2つ）","タンパク質を構成する20種類のアミノ酸のうち、ヒトが体内で十分な量を合成できない9種類（成人では8種類とされることもある）を必須アミノ酸と呼びます。これらは食事から摂取する必要があります。"
question,,,,,"biomolecules-q8","問8","タンパク質は熱やpHの急激な変化によって立体構造が変化し、機能を失う。この現象を「変性」という。一度変性したタンパク質は、元の環境に戻しても、多くの場合その機能が回復しない。その理由を、タンパク質の立体構造形成の複雑さから説明しなさい。","ゆで卵が生卵に戻らないのはなぜでしょうか。一度崩れた複雑な立体構造を、元通りに再構築するのは簡単ではありません。","タンパク質の正しい立体構造は、多数のアミノ酸間の様々な相互作用（水素結合、イオン結合、疎水性相互作用など）によって、極めて精密に形成されている。強力な変性作用によってこれらの結合が一度に切断され、ポリペプチド鎖がランダムにほどけてしまうと、元の正しい折りたたみ方を自発的に再現することは極めて困難になるため。","タンパク質のフォールディング（折りたたみ）は複雑なプロセスであり、細胞内ではシャペロンという他のタンパク質の助けを借りて行われることもあります。一度完全にほどけてしまった鎖が、広大な可能性の中から唯一の正しい構造に自発的に戻る確率は非常に低いため、変性は多くの場合不可逆的となります。"
question,,,,,"biomolecules-q9","問9","DNAとRNAはどちらも核酸だが、その構成成分には違いがある。含まれる「糖」と「塩基」について、それぞれの違いを説明しなさい。（塩基については、4種類のうち異なる1種類を挙げればよい）","デオキシリボ核酸(DNA)とリボ核酸(RNA)という名前にヒントがあります。また、A, T, G, C と A, U, G, C の違いは何でしたか。","糖：DNAを構成するのはデオキシリボース、RNAを構成するのはリボースである。塩基：DNAはチミン（T）を含むが、RNAはチミンの代わりにウラシル（U）を含む。","DNAとRNAの主な違いは、構成単位であるヌクレオチドに含まれる糖がデオキシリボースかリボースか、そして塩基としてチミン(T)を持つかウラシル(U)を持つかという点です。この違いが、DNAの安定性（遺伝情報の長期保存に適する）やRNAの多様な機能（触媒能など）につながっています。"
question,,,,,"biomolecules-q10","問10","アスパラギン酸（側鎖：-CH₂-COOH）とリシン（側鎖：-CH₂CH₂CH₂CH₂-NH₂）という2種類のアミノ酸がある。水に溶かしたときに、溶液がそれぞれ酸性、塩基性のどちらに傾くと考えられるか。理由とともに答えなさい。","アミノ酸の基本的な構造（アミノ基とカルボキシル基が1つずつ）は中性です。側鎖についている官能基が、酸性か塩基性かを考えてみましょう。-COOHと-NH₂はどちらが酸性でどちらが塩基性でしたか。","アスパラギン酸：酸性に傾く。理由は、側鎖に酸性の性質を示すカルボキシル基（-COOH）を持っているため。リシン：塩基性に傾く。理由は、側鎖に塩基性の性質を示すアミノ基（-NH₂）を持っているため。","アミノ酸全体の液性は、側鎖の化学的性質に影響されます。側鎖にカルボキシル基（-COOH）を余分に持つものは酸性アミノ酸、アミノ基（-NH₂）を余分に持つものは塩基性アミノ酸と呼ばれます。どちらも持たない多くのアミノ酸は中性アミノ酸に分類されます。"
