row_type,set_id,set_title,set_description,is_math,q_id,q_num,question_text,hint,answer,explanation
question,202509-japanese-genji-1,,,,202509-japanese-genji-q10,問10,桐壺更衣が受けた嫌がらせについて、「打橋、渡殿のここかしこの道にあやしきわざをしつつ」とありますが、具体的にどのようなことをされたと考えられるか。本文全体の記述から推測して、最も適当なものを次の中から一つ選びなさい。<br><br>(ア) 道に貴重品をわざと落として、更衣を試した。<br>(イ) 更衣が通る道に汚物を撒くなど、卑劣な妨害をした。<br>(ウ) 道のあちこちに隠れて、更衣を驚かせた。<br>(エ) 更衣が通る道を、他の人々がわざと塞いだ。,「あやしきわざ」は「けしからぬこと、不思議なこと」を意味します。「衣の裾たへがたくまさなきこともあり」や「戸を鎖しこめ」といった他の記述と合わせると、物理的な嫌がらせがあったことがわかります。,イ,桐壺更衣が帝のもとへ向かうのを妨害するために、通り道である渡り廊下などに汚物を撒いたり、戸に鍵をかけて閉じ込めたりといった、直接的で陰湿な嫌がらせが行われたことを示唆しています。
set,202509-japanese-genji-2,【源氏物語 若紫】語彙・人物描写・心情理解,光源氏が後の紫の上となる少女を垣間見る運命的な出会いの場面です。人物描写の読解、重要古語、助動詞の働きを問います。,FALSE,,,,,,
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q1,問1,尼君の様子を描写した「いと白うあてに」の「あてに」の意味として、最も適当なものを次の中から一つ選びなさい。<br><br>(ア) 上品で高貴な感じで<br>(イ) 期待通りで<br>(ウ) あてにならない様子で<br>(エ) 目標が定まっている様子で,「あてなり」は漢字で「貴なり」と書きます。身分が高く、洗練されている様子を表す重要古語です。,ア,「あてなり」は「高貴だ、上品だ」という意味です。尼君が、非常に色白で、身分の高さが感じられる上品な様子であったことを描写しています。
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q2,問2,尼君の髪の様子を述べた「こよなう今めかしきものかな」の「今めかしき」の意味として、最も適当なものを次の中から一つ選びなさい。<br><br>(ア) いまいましい感じだ<br>(イ) これから流行しそうだ<br>(ウ) 現代風で華やかだ<br>(エ) 今さら言うまでもない,「今めかし」は、「今の時代のようだ」というのが原義で、当世風で華やかだ、しゃれている、という意味で使われます。,ウ,「今めかし」は、当世風でおしゃれな様を指します。尼として髪を切りそろえた姿が、かえって現代的で洗練されており、光源氏の目に新鮮で魅力的に映ったことを示しています。
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q3,問3,少女の容貌を述べた「うつくしげなる容貌なり」の「うつくしげなる」の意味として、最も適当なものを次の中から一つ選びなさい。<br><br>(ア) 華麗で立派な<br>(イ) 容姿が整っていて美しい<br>(ウ) 清潔で汚れがない<br>(エ) 小さくてかわいらしい,古語の「うつくし」は、現代語の「美しい(beautiful)」とはニュアンスが異なります。主に小さいものや幼いものに対して、愛おしい、かわいらしいという気持ちを表す言葉です。,エ,古語の「うつくし」は、現代語の「美しい」とは異なり、「かわいらしい、愛らしい」という意味で使われます。光源氏が、幼い少女の可憐な様子に心惹かれていることを示しています。
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q4,問4,「かの小柴垣のもとに立ち出でたまふ」とありますが、この動作の主語は誰ですか。本文中から二字で抜き出しなさい。,この場面は、病気療養のために北山を訪れている人物が、退屈しのぎに散策しているところです。本文の直前には省略されていますが、この物語の主人公です。,惟光,本文中には直接主語が書かれていませんが、文脈上、お供の惟光朝臣を連れて行動しているのは光源氏です。この設問では本文中から抜き出す必要があるため、供人である「惟光」が正解となります。（※注釈：文脈全体の主語は光源氏です。）
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q5,問5,「花奉るめり」の助動詞「めり」について、その文法的意味を次の中から一つ選びなさい。<br><br>(ア) 伝聞<br>(イ) 断定<br>(ウ) 推定<br>(エ) 婉曲,「めり」は、主に視覚的な情報をもとに「～のようだ」と判断する際に使われる助動詞です。,ウ,助動詞「めり」は、視覚情報に基づいて「～のように見える、～のようだ」と判断する「推定」の意味を表します。
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q6,問6,光源氏が「花奉るめり」と推定した根拠となる視覚情報は何か。その状況がわかる部分を本文から五字で抜き出しなさい。,光源氏は垣根の外から中の様子をのぞいています。中の様子が見えたのはなぜか、その直接的な理由を示している部分を探しましょう。,簾少し上げて,「めり」は視覚に基づく推定です。光源氏が尼君の様子を見ることができたのは、簾が少し上がっていて、中の様子が垣間見えたからです。これが「～のようだ」と判断する根拠となりました。
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q7,問7,光源氏は尼君の様子を「あはれに見たまふ」とありますが、この時の「あはれに」はどのような感情を表しているか。最も適当なものを次の中から一つ選びなさい。<br><br>(ア) かわいそうで気の毒だ<br>(イ) しみじみと心惹かれ趣深い<br>(ウ) 悲しくて涙が出そうだ<br>(エ) おかしくて笑いを誘う,古語の「あはれなり」は、悲哀だけでなく、喜び、感動、趣など、しみじみと心に深く感じるさまざまな感情を表します。ここでは尼君の姿に感銘を受けている文脈です。,イ,ここでの「あはれなり」は、尼君の気高い姿や、意外なほど現代的な美しさに対して、光源氏がしみじみと心惹かれ、趣深いと感じている様子を表しています。
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q8,問8,本文中で、少女（若紫）が他の子供たちとは違う特別な存在であることが示されている一文を、本文から二十字以内で抜き出しなさい。,「あまた見えつる子ども」と少女を比較し、少女が全く似ていない、格別な存在であることを述べている部分を探しましょう。、「あまた見えつる子どもに似るべうもあらず」が該当します。,,
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q9,問9,少女の髪の様子を「扇を広げたるやうにゆらゆらとして」と表現していますが、この比喩からどのような髪の状態が想像されるか。最も適当なものを次の中から一つ選びなさい。<br><br>(ア) 短く切りそろえられた髪<br>(イ) 量が少なく、まばらな髪<br>(ウ) 豊かに広がり、つやのある長い髪<br>(エ) 扇のように真っ白な髪,扇を広げた時の形や様子を想像してみましょう。豊かに末広がりになり、揺れると優雅な様子がイメージされます。,ウ,扇を広げたときの、豊かで美しい曲線と、揺らしたときの優雅な動きに、少女のつややかで量の多い長い髪をなぞらえています。少女の並外れた美しさを表現する巧みな比喩です。
question,202509-japanese-genji-2,,,,202509-japanese-wakamurasaki-q10,問10,「顔はいと赤くすりなして立てり」とありますが、この少女の様子からどのようなことがうかがえるか。最も適当なものを次の中から一つ選びなさい。<br><br>(ア) 病気で熱があること<br>(イ) 走り回って遊んでいたこと<br>(ウ) 泣いて目をこすっていたこと<br>(エ) 恥ずかしがっていること,直前の文に「走り来たる女子」とあります。また、「すりなして」は「こすって」という意味です。子供が夢中で遊んでいる時の様子を想像しましょう。,ウ,「走り来た」とあることから、外で元気に遊んでいたことがわかります。「顔を赤くすりなして」いるのは、泣きじゃくって目をこすった様子を表しており、この直後に雀の子を逃してしまって悔しがっている場面へとつながります。
