row_type,set_id,set_title,set_description,is_math,q_id,q_num,question_text,hint,answer,explanation
question,,,,,"es-ch3-q10","問10","マグニチュードが1大きくなると、地震のエネルギーは約32倍になる。マグニチュード8の地震は、マグニチュード6の地震の何倍のエネルギーを持つか。計算式も示して答えなさい。","マグニチュードが2大きくなると、エネルギーは何倍になるかを考えましょう。","計算式: 32^(8-6) = 32^2 = 1024。答え: 1024倍。","マグニチュードが2違うとエネルギーは約1000倍も異なります。これは、M6の地震が1000回以上起きて、ようやくM8の地震1回分のエネルギーに相当することを意味し、巨大地震のエネルギーの桁違いの大きさを示しています。"
set,es-ch4-volcano,火山,マグマの性質、火山の種類、噴火現象、分布に関する問題です。,FALSE,,,,,,
question,,,,,"es-ch4-q1","問1","地下の岩石が溶けてできた高温の物質を何と呼ぶか。","これが地表に噴出すると「溶岩（ようがん）」と呼ばれます。","マグマ","マグマは、地下深部で岩石が融解してできた高温の液体状の物質で、ガスや固体成分も含まれています。マグマが地表に流れ出たものを溶岩と呼び、区別されます。"
question,,,,,"es-ch4-q2","問2","マグマの粘性の低い（サラサラした）マグマが噴出してできる、傾斜のゆるやかな楯を伏せたような形の火山を何と呼ぶか。ハワイのキラウエア火山がその例である。","形が、古代の戦士が使った「楯（たて）」に似ていることから名付けられました。","楯状火山（たてじょうかざん）","粘性が低い玄武岩質のマグマは、流れやすいため、噴火すると爆発的にならずに広範囲に広がります。これが繰り返されることで、傾斜が非常に緩やかな、楯を伏せたような形の火山ができます。"
question,,,,,"es-ch4-q3","問3","溶岩と火山砕屑物（火山灰など）が交互に積み重なってできる、円錐状の美しい形の火山を何と呼ぶか。富士山がその代表例である。","異なる性質の層が重なっていることから名付けられています。","成層火山（せいそうかざん）","粘性が中程度の安山岩質のマグマが噴火すると、流れにくい溶岩と、爆発によって放出される火山灰などの火山砕屑物が交互に堆積します。これにより、円錐形で美しい形の火山が形成されます。"
question,,,,,"es-ch4-q4","問4","火山ガスや火山灰、軽石などが一体となって、時速100kmを超える高速で山体を流れ下る現象を何と呼ぶか。","非常に高温で破壊力が大きく、最も危険な火山現象の一つです。","火砕流","火砕流は、高温の火山砕屑物と火山ガスが混合し、なだれのように高速で斜面を流れ下る現象です。温度は数百度に達し、発生からの避難は極めて困難です。"
question,,,,,"es-ch4-q5","問5","大規模な噴火によって、火山体の上部が陥没してできた大きな凹地を何と呼ぶか。阿蘇山が有名である。","スペイン語の「鍋」や「釜」を意味する言葉が語源です。","カルデラ","大規模な噴火で大量のマグマが地下から放出されると、その上の山体が支えを失って大きく陥没し、円形またはそれに近い形の巨大な凹地が形成されます。これをカルデラと呼びます。"
question,,,,,"es-ch4-q6","問6","世界の活火山の分布は、プレート境界と密接な関係がある。特に、プレートが沈み込む境界では火山が列状に分布する。これを何と呼ぶか。","海溝と平行に、大陸側や島弧側にできる火山の最前線です。","火山フロント（または火山前線）","海洋プレートが沈み込む際、ある一定の深さに達するとマグマができます。このマグマが上昇して火山を形成するため、火山は海溝に平行な線上に分布することになり、これを火山フロントと呼びます。"
question,,,,,"es-ch4-q7","問7","二酸化ケイ素（SiO₂）の量が多いマグマは、粘性が高いか、低いか。また、そのマグマが引き起こす噴火は、一般的に激しいものになるか、穏やかなものになるか。理由とともに答えなさい。","二酸化ケイ素は、ガラスの主成分です。ドロドロに溶けたガラスをイメージしてみましょう。","粘性は高くなる。噴火は激しいものになる。理由：SiO₂が多いマグマは粘性が高くなり、火山ガスが抜けにくく内部の圧力が高まるため、最終的に爆発的な噴火を引き起こす。","マグマの性質を決定する最も重要な要素がSiO₂の含有量です。SiO₂が少ないと穏やかな噴火に、多いと爆発的な噴火になりやすくなります。"
question,,,,,"es-ch4-q8","問8","火山灰が大量に降った場合、社会インフラ（交通、電力、通信など）にどのような影響が及ぶと考えられるか。具体的に2つ以上挙げなさい。","細かく硬いガラスの粒子が、広範囲に降り積もることを想像してみましょう。","(解答例) ①交通機関の麻痺: 航空機はエンジン故障の危険で欠航し、道路や線路もスリップなどで麻痺する。②電力供給の停止: 送電施設の碍子に付着してショートし、大規模な停電を引き起こす。③健康被害: 微細な火山灰を吸い込むことで、呼吸器系の疾患を引き起こす。","火山灰は、軽いために風に乗って広範囲に拡散し、噴火が収まった後も長期間にわたって社会活動に影響を及ぼします。"
question,,,,,"es-ch4-q9","問9","どのような現象を観測することが、噴火予知につながると考えられるか。観測項目を2つ挙げ、それぞれがなぜ噴火の兆候となるのかを説明しなさい。","地下のマグマが地表に向かって上がってくるとき、山の形や地面の揺れに変化は起きないでしょうか。","(解答例) ①GPSによる山体の膨張観測: 地下のマグマだまりにマグマが供給されると山体が膨張（隆起）するため。②火山性地震の増加・震源の浅層化: マグマが地下を移動する際に周囲の岩盤を破壊するため。震源が浅くなるのはマグマの上昇を示唆する。","現代の噴火予知は、地震計、GPS、傾斜計、ガス濃度測定など、様々なデータを総合的に分析して行われます。"
question,,,,,"es-ch4-q10","問10","ある地域に新しい火山の建設計画（架空の話）が持ち上がったとする。あなたは専門家として、どのような地学的調査を行い、何を明らかにすることで、その地域の安全性を評価するか。調査項目とその目的を3つ以上提案しなさい。","過去を知ることで未来を予測します。地下の様子を探ることも重要です。","(解答例) ①過去の噴火履歴の調査（地層・古文書）: 噴火の規模・種類・頻度を明らかにし、将来の噴火様式を予測する。②地下のマグマだまりの調査（地震波トモグラフィーなど）: マグマだまりの位置、大きさ、深さを推定し、火山の活動ポテンシャルを評価する。③周辺の地形・地質調査: 過去の火砕流や火山泥流の到達範囲を特定し、ハザードマップ作成の基礎資料とする。","この問題は、地学知識を応用して、将来のリスクを評価する計画立案能力を問うものです。"
set,es-ch5-disaster-prevention,火山・地震防災（基礎）,ハザードマップ、緊急地震速報、津波からの避難、建物の対策など、防災に関する基礎的な問題です。,FALSE,,,,,,
question,,,,,"es-ch5-q1","問1","地震や噴火などの自然災害によって、ある場所でどのような被害が起こりうるかを示した地図を何と呼ぶか。","英語で「危険」を意味する言葉が使われています。","ハザードマップ","ハザードマップは、津波による浸水域、土砂災害の危険区域、火砕流の到達範囲など、災害による被害の予測範囲や程度を地図上に示したものです。自治体のウェブサイトなどで公開されています。"
question,,,,,"es-ch5-q2","問2","強い揺れが来る前に、テレビや携帯電話などを通じて気象庁が発表する警報を何と呼ぶか。","揺れが始まる数秒から数十秒前に発表されることを目指すシステムです。","緊急地震速報","緊急地震速報は、震源近くで捉えたP波を即座に解析し、S波が到達する前に各地の揺れの強さや到達時刻を予測して発表する情報です。この時間を利用して身を守る行動をとることが期待されます。"
question,,,,,"es-ch5-q3","問3","地震による津波の危険がある場合、海岸近くにいる人々はどのような行動をとるべきか。最も重要なことを簡潔に答えなさい。","津波は、水平方向だけでなく、垂直方向にも逃げる必要があります。","ためらわずに、直ちに、より高い場所へ避難する。","津波からの避難で最も重要な原則は「より早く、より高く」です。少しでも揺れを感じたら、あるいは津波警報を見聞きしたら、ためらわずに高台や津波避難ビルなどへ避難を開始することが生死を分けます。"
question,,,,,"es-ch5-q4","問4","建物の地震対策には「耐震」「免震」「制震」の3つの考え方がある。「免震」とはどのような仕組みで建物を揺れから守る技術か、簡潔に説明しなさい。","「揺れを免れる（まぬがれる）」と書きます。揺れそのものを建物に伝えないようにします。","建物と基礎の間に、積層ゴムなどの特殊な装置を設置し、地面の揺れを直接建物に伝えないようにする（受け流す）仕組み。","「免震」は建物と地盤を切り離し、地面が揺れても建物はゆっくりと動くだけで、建物内部の揺れを大幅に低減する技術です。家具の転倒なども防ぐ効果が高いとされています。"
question,,,,,"es-ch5-q5","問5","災害時に、自分自身の命を守るための備えや行動を「自助」という。これに対し、地域やコミュニティで助け合うことを何と呼ぶか。","「共に助け合う」という意味の言葉です。","共助","防災では、「自助」（自分のことは自分でやる）、「共助」（地域で助け合う）、「公助」（行政による支援）の3つが重要とされています。特に大規模災害の直後は、自助と共助が極めて重要になります。"
question,,,,,"es-ch5-q6","問6","災害に備えて、非常用持ち出し袋を準備しておくことが推奨される。最低限入れておくべきものを3つ挙げなさい。","生命維持に直結するものを第一に考えましょう。","(解答例) 飲料水、非常食、携帯トイレ、懐中電灯、モバイルバッテリー、医薬品など。","非常用持ち出し袋は、避難時に最低限必要なものをまとめたものです。特に、水、食料、情報、明かり、衛生用品などは必須とされています。"
question,,,,,"es-ch5-q7","問7","緊急地震速報が、特に震源に近い地域では間に合わないことがあるのはなぜか。P波とS波の伝わる速さの違いに着目して説明しなさい。","警報を出すための時間と、主要動が到達するまでの時間の競争です。","震源に近い地域では、先に到達するP波と、後から来るS波の到着時間差が非常に短い。そのため、P波を検知してから警報を発表するまでの処理時間内にS波が到達してしまい、警報が揺れに間に合わないため。","緊急地震速報は、P波とS波の速度差を利用したシステムです。震源から遠ざかるほど、警報から主要動までの時間的猶予が生まれますが、震源近くでは原理的に間に合わない「盲点」区域が存在します。"
question,,,,,"es-ch5-q8","問8","津波が陸地に近づくにつれて、その波の高さと速度はどのように変化するか。また、その理由を簡潔に説明しなさい。","波のエネルギーは保存されます。速度が落ちると、エネルギーはどこへ行くでしょうか。","速度は遅くなり、波の高さは高くなる。理由：水深が浅くなるにつれて波の進む速度が遅くなる。波のエネルギーが保存されるため、減少した速度のエネルギーが波の高さのエネルギーに変換されるから。","沖合での津波の速さはジェット機並みですが、海岸に近づき水深が浅くなると、急ブレーキがかかったように速度が落ち、後から来る波が重なるようにして波高が急激に増大します。"
question,,,,,"es-ch5-q9","問9","大規模な災害が発生した直後（発災から72時間程度）において、なぜ特に「自助」と「共助」が重要になるのか。その理由を説明しなさい。","救助隊（公助）は、すぐに全ての被災者のもとへ駆けつけられるでしょうか。","大規模災害直後は、道路の寸断や多数の被害により、「公助」がすぐに機能するとは限らないため。人命救助のタイムリミットとされる72時間は、まず自分自身と家族を守る「自助」と、近隣住民で助け合う「共助」が、生存率を大きく左右するから。","阪神・淡路大震災では、倒壊家屋から救出された人の約8割が、家族や隣人など（自助・共助）によって助け出されたというデータがあります。"
question,,,,,"es-ch5-q10","問10","ハザードマップで自宅周辺が「液状化の危険性が高い」と示されていた。この情報をもとに、取り組むべき具体的な防災対策を、「ハード対策」と「ソフト対策」の両面から3つ以上提案しなさい。","「ハード」は物理的な対策、「ソフト」は知識や行動計画などの非物理的な対策です。液状化が起きたら何が困るかを具体的に想像してみましょう。","(解答例) 1.【ハード対策】地盤改良工事を行う、または建物の基礎を杭で補強する。2.【ソフト対策】ライフラインが寸断されることを想定し、最低1週間分の水・食料・簡易トイレを備蓄する。3.【ソフト対策】液状化の危険が低い避難場所までの安全な避難経路を家族で確認しておく。","この問題は、科学的情報をもとに、具体的な防災行動を計画する思考力・応用力を問うものです。自分の身の回りのリスクを自分事として捉え、対策を立てる訓練になります。"
